name,releasedate,copiessold,price,revenue,avgplaytime,reviewscore,publisherclass,publishers,developers,steamid
"SEX, Stocks & Cocks",2024-06-08,5320,9.99,29726.0,1.950707515099464,89,Indie,Lust Desires 🖤,Lust Desires 🖤,2983270
Astrodle,2024-06-19,5885,5.99,29692.0,8.619566640734353,91,Indie,Robin Nicolet,Robin Nicolet,2853130
Farmer's Father: Save the Innocence,2024-03-25,4012,9.99,29651.0,5.095922865792561,51,Indie,"FreeMind S.A.,PlayWay S.A.",FreeMind S.A.,1905980
Anno 1503 History Edition,2024-04-22,6151,9.99,29631.0,6.115938992310643,66,AAA,Ubisoft,Ubisoft Mainz,2820110
PAC-MAN Mega Tunnel Battle: Chomp Champs,2024-05-08,1717,19.99,29626.0,3.111213621333812,65,Indie,Bandai Namco Entertainment America Inc.,Amber Studio,2095950
The Pony Factory,2024-01-18,10069,3.99,29544.0,0.6334106168309567,0,Indie,David Szymanski,"David Szymanski,John Szymanski",2536530
Microcosmum 2,2024-03-02,2547,14.99,29539.0,8.508756292668476,62,Indie,Satur Entertainment,Satur Entertainment,1486140
Death Trick: Double Blind,2024-03-11,2348,15.99,29423.0,4.311320357436231,87,Indie,Neon Doctrine,Misty Mountain Studio,2254710
Clash II,2024-02-15,2296,24.99,29349.0,5.446121753796074,69,Indie,Prime Bit Games SA,Prime Bit Games SA,1347760
Mobiles Tycoon,2024-07-15,5863,5.99,29315.0,6.253715412674853,85,Indie,Insignis Games,Insignis Games,3022320
[ECHOSTASIS],2024-05-30,1764,19.99,29284.0,7.066791492048213,92,Indie,ENIGMA STUDIO,ENIGMA STUDIO,1558000
8th Heaven,2024-07-29,2562,14.99,29280.0,1.7129255284405749,84,Indie,TinyHat Studios,Cottage Club,2321860
战国女神,2024-01-19,4891,0.0,29152.0,39.16769978517894,73,Indie,战国女神,战国女神,2706730
Goons: Legends & Mayhem,2024-04-11,1982,19.99,29102.0,3.0503787045516324,89,Indie,Firestoke,RageCure Games,1484180
Homeless,2024-08-03,4825,6.99,29094.0,1.0481992029999825,77,Indie,"DarkPhobia Games,Teaserplay",DarkPhobia Games,3018910
No Return,2024-08-02,2075,16.99,29045.0,1.6968528516564485,43,Indie,Boltray Games,BlameTech,1967220
Lust Mansion 🔞,2024-06-01,5215,9.99,29037.0,1.916627332247729,87,Indie,Lust Desires 🖤,Lust Desires 🖤,2936260
Survival Nation: Lost Horizon,2024-04-15,2465,14.99,28857.0,4.066106045541831,63,Indie,indie.io,Wenkly Studio Sp. z o.o.,2504380
Tactic Boxing,2024-03-24,3970,9.99,28857.0,7.929103182478144,78,Indie,Stately Eagle Games,Stately Eagle Games,2740280
Criminal Attraction,2024-07-26,3389,9.99,28741.0,4.776792523236554,83,Indie,Space Samurai Studio,Space Samurai Studio,2775050
Elf boss's dog training,2024-01-16,4593,7.99,28692.0,3.882277922403346,81,Indie,"Playmeow,ACG creator",Giver,1988080
Border Bots VR,2024-02-08,1867,19.99,28685.0,2.740666435942031,88,AA,Team17,"Paw Print Games Ltd.,vTime Ltd",874440
Crystal Guardians,2024-03-15,2585,13.99,28629.0,17.725350604853798,95,Indie,Green Pine Studios,Green Pine Studios,2322090
Against Great Darkness,2024-04-10,5026,6.99,28579.0,4.760527244357026,95,Indie,Hitreg Studios,Hitreg Studios,2302150
Akai Onna,2024-01-04,12475,2.99,28485.0,0.692439412021328,89,Indie,Yamoto,Yamoto,2674190
House of Lust,2024-03-20,2833,11.99,28483.0,1.974001166062908,74,Indie,Shady Corner Games,FrozenLettuce,2656980
Book of Korvald,2024-06-16,1459,24.99,28463.0,8.076809339919043,97,Indie,Shady Corner Games,Punching Donut,2132380
Mines and Magic,2024-03-25,3910,14.99,28188.0,9.086870277290796,72,Indie,Zolden Games,Zolden Games,884640
奕剑江湖,2024-08-06,63989,0.0,28044.0,10.34215016430438,85,Indie,Star-Star Studio,Star-Star Studio,2701510
To Be In Love With Girls Group,2024-03-26,3700,9.99,27883.0,4.368679644745055,68,Indie,光禾文化,光禾文化,2817530
